apple,bleach
clothes,camera
egg,speaker
grape,shampoo,television
milk,tissue,thermostat
orange,bleach,charger
oil,bleach,cell phone
banana,bleach,handbag
banana,candle,handbag
banana,candle,headphone
beef,candle,headphone
beef,conditioner,headphone
beef,conditioner,light bulb
bread,conditioner,light bulb
bread,detergent,light bulb
bread,detergent,screen protector
broccoli,detergent,screen protector
broccoli,moisture,screen protector
broccoli,moisture,shoe
chicken,moisture,shoe
